files,text,dacy_large,lang
BREV_B1871-1879ht_B18710803JHT,"Tillad mig herved at gratulere til Deres udnævnelse til bureauchef, som jeg nu af aviserne erfarer er officiel. Jeg både ønsker og håber imidlertid at dette trin opad på departements-stigen ret snart vil bringe Dem til at bestige et endnu højere.Det var mig særdeles behageligt at høre at 
min digtsamling er falden i Deres smag. Overlærer Løkke, til hvem jeg også sendte bogen, har bevaret en fuldstændig taushed.Jeg erindrer ikke om jeg har erkendt modtagelsen af min gage for 2det kvartal dette år; hvis ikke, så sker det herved. Da jeg imidlertid trænger til flere penge, anmoder jeg Dem godhedsfuldt at udtage af Kreditkassen og sende mig en veksel på 100 Spd. – En større del af hvad jeg har stående i Danmark har 
Hegel anbragt for mig i statspapirer på en både sikker og fordelagtig måde.

Marie ligger for sin helbreds skyld på landet, og jeg håber det vil bekomme hende vel. For øvrigt er alt ved det gamle. Hjertelige hilsener fra os alle!","['Løkke', 'Hegel', 'Marie']",da
BREV_B1871-1879ht_B18710924GB,"Det er altid med en underlig blandet følelse at jeg læser Deres breve. Hvad De skriver er mere digte end breve; det kommer til mig som et nødråb fra en der er bleven ene levende tilbage i et stort uddød strøg. Og så kan jeg jo ikke andet end glæde mig og takke Dem, fordi De retter dette råb netop til mig. Men på den anden side fylder det mig med bekymring idet jeg spørger mig selv: hvad skal en sådan stemning føre til? Jeg har da ikke andet at slå mig til ro med end det håb at det kun er en gennemgang. Det forekommer mig som om De nu står i den samme krisis som jeg i de dage jeg skred til at skrive «Brand», og jeg er viss på at også De vil vide at finde det lægemiddel, som driver sygdomsstoffet ud af kroppen. En energisk produceren er en fortræffelig kur. Hvad jeg først og fremst vil ønske Dem er en rigtig fuldblods egoisme, der kan drive Dem til for en tid at sætte Deres eget som det eneste, der har værd og betydning, og alt andet som ikke existerende. Optag ikke dette som et tegn på noget brutalt i min natur! De kan jo dog ikke gavne Deres samfund på nogen bedre måde, end ved at udmynte det metal, De har i Dem selv. Det solidariske har jeg egentlig aldrig havt nogen stærk følelse af; jeg har igrunden kun taget det sådan med som traditionel troessætning; – og havde man mod til fuldt og helt at sætte det ud af betragtning, så blev man kanske kvit den ballast som tynger værst på personligheden. – Overhovedet er der tider da hele verdenshistorien står for mig som et eneste stort skibbrud; det gælder at frelse sig selv. – Specialreformer lover jeg mig intet af. Hele slægten er på vildspor, det er sagen. Eller er der virkelig noget hold i den nuværende situation? Dette med uopnåelige idealer og sligt? Hele rækken af slægter forekommer mig som en ung mand der har forladt sin læst og er gået til theatret. Vi har gjort fiasco både i elskerfaget og i det heroiske fag; det eneste vi har vist en smule talent for er det naiv-komiske; men med den mere udviklede selvbevidsthed går heller ikke det længere. At det er bedre bevendt i andre lande, end hjemme, tror jeg ikke; massen står udenfor al forståelse af det højere både ude og hjemme. –Og så skulde jeg forsøge på at stikke en fane ud! Ak, kære ven, det blev en historie som da L. Napoleon gik iland i Boulogne med en ørn på hovedet. Senere, da hans missions time slog, behøvede han ingen ørn. – Under beskæftigelsen med «Julian» er jeg på en viss måde bleven fatalist; men dette stykke bliver dog et slags fane. Frygt for øvrigt ikke for noget slags tendensvæsen; jeg ser på karaktererne, på de krydsende planer, på historien, og giver mig ikke af med «moralen» af det hele – forudsat at De ikke under historiens moral vil forstå dens filosofi; thi at en sådan kommer til at skinne frem som den endelige dom over det kæmpende og sejrende, er en selvfølge. Dog alt dette kan kun anskueliggøres praktisk.
Deres forrige brev om denne genstand gjorde mig ikke urolig, først fordi jeg fra Deres side var forberedt på deslige betænkeligheder, og dernæst fordi jeg tager stoffet anderledes, end De forudsætter. –
Deres bog har jeg modtaget; jeg kan kun sige Dem at den for mig er en læsning, som jeg atter og atter vender tilbage til. – Ja, kære fortræffelige Brandes, det er mig ufatteligt at De kan være mismodig. De har jo dog fået åndens kaldelse så klart og utvetydigt som kun få mennesker. Hvad skal så dette mismod til? Har De lov til det? Tro forøvrigt ikke andet, end at jeg godt forstår Dem.De viser mig nok den tjeneste at fremsende indlagte visitkort til cand. mag. Fr: Knudtzon, Amaliegade; – skulde De personlig træffe ham etsteds, så hils ham fra mig; jeg sætter ham i mange henseender højt; – jeg kan også sige at han er en begejstret og ubetinget beundrer af Dem.Og så tilsidst hjertelig tak for besøget i Dresden; det var fest-timer for mig. Lykke, mod, sundhed og alt godt!","['L. Napoleon', 'Brandes', 'Fr: Knudtzon']",da
BREV_B1871-1879ht_B18710926FH,"Igår havde jeg den glæde at modtage den værdifulde bogpakke, for hvilken jeg hjerteligst takker. «Brand» tager sig jo fortræffelig ud i det nye udstyr. – Univ: bibl: bøger skal jeg om nogle dage tilbagesende. – 
Prof: Munchs besøg glæder jeg mig meget til; men da jeg er flyttet og frygter for at han ikke skal finde mig, beder jeg Dem godhedsfuldt sende ham indlagte adresse.Deres breve af 20de og 22de Juli har jeg til dato ikke besvaret. Tilgiv denne forsømmelse! For indkøbet af jernbane-aktier er jeg Dem meget forbunden. Lige så for den tidligere tilsendte bogpakke. –Med 
«Kejser Julian» går det raskt. 1ste akt ligger ganske færdig; men det hele vil neppe være afsluttet før udgangen af dette år. Det bliver under alle omstændigheder mit hovedværk!Fra 
«Illustr: Nyhedsblad»s tidligere ejer, bogtr: H. J. Jensen modtog jeg for 14 dage siden et brev, hvori han er fræk nok til at underrette mig om at han til jul agter at udgive et nyt oplag af «Hærmændene på Helgeland» og «Fru Inger til Østeråd»! Jeg har imidlertid givet ham svar på tiltale, så jeg håber han frafalder sit forsæt. Begge bøger er nemlig kun solgt ham til optagelse i hans blad og han har ikke mere ejendomsret til dem end f: ex: redaktør Bille til 
Bergsøes «I Sabinerbjergene». For øvrigt har jeg overdraget til en jurist at varetage mit tarv. «Fru Inger» er det min agt at omarbejde og indsende til det kgl: theater, ligesom jeg tror at begge bøger bør udgives igen, hvis De så synes. Dog hermed har det nu ingen hast. –Vi har havt den glæde at se mange Danske hos os i den senere tid. Jeg er nu flyttet ud i det elegante såkaldte fremmedkvarter af staden og trives særdeles vel her.Med de bedste hilsener til Dem og Deres søn er jeg
P. S.For næste gang vil jeg gerne spille på to ¼ lodder.","['Munchs', 'H. J. Jensen', 'Bille', 'Bergsøes', 'P. S.For']",da
BREV_B1871-1879ht_B18710928DaBog,"I disse dage har jeg modtaget underretning om at en i Kristiania bosiddende bogtrykker ved navn H. J. Jensen er ifærd med ulovligen at eftertrykke mine to ældre dramatiske arbejder «Fru Inger til Østeråd» og «Hærmændene på Helgeland». For dette attentat på min ejendom vil han blive dragen til retsligt ansvar. Men for det tilfælde at eftertryksudgaven i mellemtiden skulde forvilde sig til Danmark, er det at jeg udsender denne advarsel.Med det Jensenske presse-produkt har jeg naturligvis ingen befatning havt. Som følge heraf vil dette udkomme enten med eftertrykkerens egne rettelser og forbedringer eller også i den i flere henseender ufuldkomne og ufærdige skikkelse, hvori hine to arbejder for første gang aftryktes for norsk «Illustr: Nyhedsblads» læsere.
Jeg selv derimod forbereder en gennemarbejdet og tidsmæssig udgave af mine to skuespil for den Gyldendalske boghandel. Lige over for denne udgave vil det kristianiensiske Eftertryk være fuldstændig værdiløst undtagen for makulaturhandlere.Det bør derfor antages at jeg rammer, ikke alene mit eget men også alle andre vedkommendes tarv, når jeg retter nærværende linjer til den ærede danske boghandlerstand, som en venlig og indtrængende opfordring til hvert enkelt medlem af samme, om hverken ved bestillinger eller på anden måde at række hånden til denne spekulation.
",['H. J. Jensen'],da
BREV_B1871-1879ht_B18710929FH,"Idet jeg takker Dem for det igår modtagne brev, håber jeg at min seneste skrivelse har sat Dem ind i situationen angående de Jensenske slyngelstreger. Min ret er så soleklar at det endelige udfald ikke kan være tvivl underkastet. Nogen kontrakt har aldrig existeret mellem os, – ikke et skrevet ord; kvittering fra min hånd findes heller ikke af den grund at personen endnu ikke har betalt mig fuldt ud den for stykkernes benyttelse i «Nyhedsbladet» stipulerede sum.Jeg håber De intet har imod at jeg har bebudet en udgave af stykkerne på Deres forlag; tiden har jeg ikke angivet, og er således antageligen ikke gåt sandheden for nær; thi engang bør dog vel disse arbejder slutte sig til rækken af mine andre.
Indlagte beder jeg Dem godhedsfuldt tilstille herr Bille. Allerede idag skriver jeg en fremstilling til det norske justitsdepartement, bestemt til indrykkelse i «Morgenbladet», og hvori jeg opfordrer autoriteterne til ved beslaglæggelse at stoppe tyven indtil jeg kan få dom over ham.Det er mig kært at De ikke har svaret advokat Heiberg; hvis De svarer ham, skulde jeg ønske De vilde indskrænke svaret til en meddelelse om at De har oversendt mig hans brev. –I dette øjeblik modtager jeg brev fra min svoger, bureauchef Thoresen i Kristiania, hvori han anviser mig de forholdsregler, jeg har at tage. Min juridiske og moralske ret er lige utvivlsom.","['Bille', 'Heiberg', 'Thoresen']",da
BREV_B1871-1879ht_B18711010MB,"Hjertelig tak for dit brev, hvoraf jeg ser at Du har bevaret dit gamle venskab for mig. Jeg er vel tilfreds med at min opsats er bleven holdt tilbage. Det har været mig i højeste grad modbydeligt at tænke på at jeg skulde indlade mig i ordveksling med en karl som bogtrykker Jensen; udenforstående kan meget bedre gøre det. Min bøn til Dig er: enten i samråd med 
Thoresen at omkalfatre artiklen, således at den gør sin virkning uden at skade mig, eller – hvad der skulde være mig kærest – at benytte, hvad deri brugbart er, til en selvstændig opsats om sagen.Nogle bemærkninger ved dit brev må jeg dog gøre. Du skriver som om det kunde være tvivlsomt på hvis side retten ligger. Hersker der virkelig i den grad barbari i den norske bogverden? Er et avisbidrag udgiverens ejendom? Hvorledes kunde jeg da upåtalt udgive 2den udgave af «Kærlighedens Komedie»? Hvorledes kunde jeg udgive min digtsamling hvis 
«Ballonbrevet» og mange andre stykker tilhørte doktor de Besche og «Ill: Nyhedsblad»
? Hvorledes kunde Bjørnson i sine «Småstykker» optrykke «Mellem Slagene» og «En glad gut», hvoraf det ene efter norske begreber skulde tilhøre 
«Kristianiaposten» og det andet 
«Aftenbladet»? I hele den civiliserede verden hersker der ingen tvivl om dette spørgsmål, og det er mig pinligt at tænke på at mit fædreland danner den eneste undtagelse. Hvis jeg har husket fejl og mit brev til Botten-Hansen om «Fru Inger» existerer, så beviser det jo til overflod at Nyhedsbl: kun erhvervede sig en vis begrænset ret, i modsat fald var det meningsløst at fastsætte noget om oplagets størrelse.Ligeså enestående vilde det være om eftertrykker H. J. Jensen skulde kunne gøre affærer med mit private brev. Der forekommer kun to stærke udtryk deri, idet jeg kalder hans forehavende «en svindler-spekulation» og ytrer at «hvis han fremturer i sit forsæt skal jeg både gennem pressen og for domstolene vise ham hvad slige kæltringstreger fører til». Hvis Jensen ejer forlagsretten så øver han kæltringstreger mod sine kreditorer; ejer han den ikke så øver han dem mod mig. I begge tilfælde er hans spekulation efter europæiske begreber en svindler-spekulation. Skulde det virkelig være farligt at udtale dette hjemme? Ja, jeg forstår hvorfor det er farligt; det hænger sammen med hvad du antyder om «forholde og stemninger». Hvis Jensen var statsråd, embedsmand eller overhovedet et dannet menneske, så var der vist ingen fare; men en smudsig slyngel, der netop i kraft af sin smudsighed hører til «folket», må naturligvis ikke affærdiges med hån. Jeg går til min død ikke med på dette! Men jeg indrømmer at denne private sag ikke er den gunstigste lejlighed til at brændemærke råheden og dens forgudere. Og hvorledes skulde ellers den person vove at tænke på en injurieproces, da man dog har hele hans fallithistorie at true ham med?
Tak L. Daae fra mig for hans gode hjælp og bed ham fremdeles ikke at svigte mig. Dette er for mig en stor sag; thi skulde virkelig den Jensenske udplyndringsplan vinde sympati og understøttelse hjemme, så er det min agt, komme hvad komme vil, at sige mig løs fra ethvert forhold til Norge og aldrig mere sætte min fod der.Her sad jeg nu i lykkelig sindsro og arbejdede på 
min nye digtning; fra Sverig, fra Danmark og hernedefra erfarer jeg ikke andet end hvad der må glæde mig; men fra Norge er det som alt ondt kommer over mig. Hvad vil de mennesker? Er jeg ikke tilstrækkelig langt borte?Et falder mig ind. Skulde ikke stumper af min artikel kunne benyttes som uddrag af et privat brev fra mig? Gør, hvad Du og Thoresen finder for godt; men forebyg den skæbnesvangre mulighed at eftertryksudgaven af mine bøger får se lyset.Endnu engang, tak for dit brev, og en venlig hilsen til din ærede frue. – Kommer jeg lykkelig ud over denne lurvede sag, så er det min agt til sommeren at komme hjem for at være med at fejre det 1000-årige rige. Det eneste der ved denne lejlighed skulde holde mig tilbage, var tanken om vore folkelige politiske Chiliaster. – Lev hjertelig vel!P. S. Jeg skriver til Thoresen idag.","['Jensen', 'Thoresen', 'de Besche', 'Bjørnson', 'Botten-Hansen', 'H. J. Jensen', 'Jensen', 'Jensen', 'L. Daae', 'Thoresen', 'Thoresen']",da
BREV_B1871-1879ht_B18711015NN_Til_Oplysning,"
I Begyndelsen af Aaret 1857 tilstillede jeg fra Bergen, hvor jeg dengang opholdt mig, norsk «Illustreret Nyhedsblad»’s daværende Redakteur P. Botten-Hansen Manuskriptet til mit Skuespil «Fru Inger til Østeraad», for ved hans Medvirkning at faae det trykt i Christiania. Som Svar paa min Henvendelse foreslog Botten-Hansen mig, imod et opgivet ubetydeligt Honorar, at lade Stykket trykke i «Nyhedsbladet», i hvis Spalter Arbeidet da ogsaa fremkom, samtidig med at Bladets Eier, Bogtrykker H. J. Jensen, lod tage nogle Hundrede Separat-Aftryk, der for hans Regning solgtes i Boghandelen. Af det tilbudte Honorar maatte jeg ved min paafølgende Ankomst til Christiania lade mig nøie med lidt over det halve, da Bladets Eier til enhver Tid, naar Betaling skulde skee, viste sig ude af Stand til at opfylde sine Forpligtelser.Strax efter Nyaar 1858 indleverede jeg til Christiania Theater mit, da netop fuldførte, Skuespil «Hærmændene paa Helgeland», men fik det nogen Tid efter paa Grund af Omstændighederne tilbagesendt. Manuskriptet blev derefter af mig overladt til «Illustreret Nyhedsblad» for at benyttes til et Præmiehefte eller en Nyaarsgave for Bladets Abonnenter, hvorhos Bladets Eier begjærede og erholdt mit Samtykke til, imod det fastsatte Honorar, at trykke Bogen i et Oplag paa 2200 Exemplarer, deri iberegnet det Antal Exemplarer, som skulde tildeles Abonnenterne.Foranstaaende er, for de to omhandlede Skuespils Vedkommende, den fulde og hele Sandhed betræffende mit literaire og juridiske Forhold til «Illustreret Nyhedsblad» og dets Eier. At Udgiveren af en Tidende, naar ikke anderledes er bestemt, ingensomhelst Ret har til at disponere over et literairt Bidrag udenfor Bladets Omraade og overhovedet udenfor den Begrændsning, hvorunder Bidraget er blevet ham overladt, vil være indlysende for Enhver og kan belægges med utallige Exempler fra det praktiske Liv. Jeg skal her anføre nogle faa. Mit Skuespil 
«Kjærlighedens Komedie» har i sin Tid været overdraget «Illustreret Nyhedsblad» i samme Øiemed som «Hærmændene paa Helgeland», og dog har jeg upaatalt kunnet foranstalte en ny Udgave af Bogen. Det Samme er Tilfældet bl. A. med mine to større Digte 
«Paa Vidderne» og 
«Terje Vigen». Heller ikke har «Morgenbladet» gjort Fordring paa Eiendomsretten til mit 
«Ballonbrev», som mod Honorar har været optaget i dets Spalter. Ligesaa uanfægtet af 
«Aftenbladet» og 
«Christianiaposten» har Herr B. Bjørnson i sine «Smaastykker» kunnet optage «En glad Gut» og «Mellem Slagene», hvoraf det ene fra først af udkom som Feuilleton og det andet som Tillægshefte til de nysnævnte Aviser. Endelig skal jeg nævne Herr V. Bergsøes «I Sabinerbjergene», der uden Forhindringer har kunnet gaae fra nærværende Blad over i Boghandelen. Og dog er det under aldeles analoge Forhold, at man for Tiden i Christiania eftertrykker mine Arbeider!Men selv for det aldeles umulige Tilfælde, at «Nyhedsbladet»’s Eier ved de mellem mig og hans Blad foregaaede Transaktioner skulde have erhvervet en saa extraordinair Ret, vilde dog hans Foretagende være en grov Forgribelse paa fremmed Gods.For nogle Aar siden gik nemlig Bogtrykker Jensen fallit. Eet af to maa altsaa være Tilfældet. Enten har han, da han overgav sit Bo til Skifteretten, opført Forlagsretten til mine Værker blandt Boets Aktiva, – og i saa Fald er Retten gaaet over paa andre Hænder; eller han har lagt Dølgsmaal paa denne Eiendomsgjenstand; men hans fuldstændige Mangel paa Ret er i begge Tilfælde lige klar.Jeg tillader mig derfor at gjentage min tidligere Opfordring til samtlige danske Boghandlere, og særlig til den danske Boghandlerforening, om ikke at række Haanden til denne vistnok enestaaende Spekulation, der af mig vil blive indanket for de norske Domstole.","['P. Botten-Hansen', 'Botten-Hansen', 'H. J. Jensen', 'Terje Vigen', 'Herr B. Bjørnson', 'Herr V. Bergsøes', 'Jensen']",da
BREV_B1871-1879ht_B18711028MB,"Det er meget slemt at mine venners råd om ikke at anlægge proces mod eftertrykker Jensen skal have havt det af Dig i dit sidste venskabelige brev antydede resultat. Jeg ser mig imidlertid herved bestyrket i min anelse om at eftertrykkeren kalkulerede rigtigt når han ved at udplyndre mig gjorde regning på bistand af det norske publikum. Det er mig derfor kært at jeg ikke har spildt et ord på dette publikum, men kun henvendt mig til det danske, hos hvilket jeg visselig ikke vil være udsat for en lignende behandling.Jeg tror ikke at mine stykker i tre år har været ude af boghandelen. Men selv om så var er det dog umuligt at jeg skulde have tabt min ejendomsret. Du må forvexle bestemmelsen med noget andet. I de civiliserede lande gælder den regel at når en boghandler har tilkøbt sig forlagsretten til en afdød forfatters værker og i et længere tidsrum holder dem ude af handelen, så falder forlagsretten under visse omstændigheder i det fri. Anderledes kan det dog vel heller ikke være i Norge. Det har hidtil ligget i min og 
min forlæggers
 interesse ikke at foranstalte nye oplag af disse skuespil. I en rationel boghandel er det et princip ikke at overfylde bogmarkedet med en og samme forfatters værker, således at det ene går i vejen for det andet. Siden marts måned 1866 har jeg på Hegels forlag udgivet 
13 forskellige udgaver af mine skrifter. Der har ikke været plads til mere; det var med vanskelighed at vi fandt tidspunkter for «Kærlighedens Komedie» og «Kongsemnerne», at kile flere gamle sager ind iblandt det nye har været en umulighed. Og over alt dette skulde ikke en forfatter selv være rådig! Jeg gentager det, det er umuligt; ikke engang i Norge kan barbariet og brutaliteten være drevet til en slig højde.Indlagt sender jeg min svoger 
Thoresen en fuldmagt, som bedes udfyldt, og hvorefter han bemyndiges til at lade anlægge proces mod eftertrykkeren og hans bevislige hjælpers hjælpere. Til advokat foreslår jeg J. Ebbel. Taber jeg denne proces, så har jeg derved opnået at rejse den norske nation og navnlig dens lovgivning en vel fortjent skamstøtte.Denne affære vil efterlade et ar i mit sind om jeg så blev hundrede år gammel. Det eventuelle honorar fra Hegel for disse to stykker havde jeg bestemt til anskaffelse af det nødvendige indbo for at kunne vende tilbage til hjemmet, hvilket jeg syntes jeg måtte af hensyn til min lille gut, der her går og blir udlænding. Og i det sted får jeg nu procesudgifter. Hvad jeg i Danmark og Sverig tjener, det går med til processer om min ubestridelige ret i hjemmet!! Fra nu af må jeg altså betragte mig som fuldstændig hjemløs. Jeg ved at det ikke vil være enkelte af mine venner imod. Jeg ved godt at enkelte mener jeg i deres interesse bedre kan forrette bulbidertjeneste her ude end hjemme, og at man derfor ikke ønsker mig hjem. Nu har man fåt det efter ønske.Tak for din bistand i denne sag, og bring ligeledes min tak til de øvrige trofaste; vedlagte kort er Du nok så god at besørgeP: S: Jeg skriver til min svoger idag og sender ham derfor den nævnte fuldmagt direkte.","['Jensen', 'Thoresen', 'J. Ebbel', 'Hegel']",da
BREV_B1871-1879ht_B18711227FH,"Herved tillader jeg mig at frembære vor hjerteligste taksigelse for den smukke og værdifulde gave, hvorved De i en så væsentlig grad har bidraget til at skaffe os alle en behagelig juletid. 
Fru Dunkers bog vil visst finde en stor læsekreds, navnlig i Norge, hvor jeg ved at den har været imødeset med stor forventning.
Mit nye arbejde går uopholdelig fremad. 1ste Afdeling: «Julian og visdomsvennerne» i tre akter ligger allerede færdig i renskrift. Den udgør netop 100 sider; men jeg sender Dem intet deraf, da jeg antager at De ønsker det hele forinden De lader trykningen begynde. På anden afdeling arbejder jeg nu flittigt, og denne vil gå raskere fra hånden og blive betydelig kortere; tredje afdeling bliver derimod noget længere; antagelig kommer det hele til at udgøre mellem 280–300 sider, altsammen i prosa, og i formen nærmest sluttende sig til «Kongs-emnerne».
Af de norske aviser erfarer jeg med glæde at Bjørnson nu endelig opgiver sin journalistiske virksomhed, der har gjort ham så megen skade; jeg hører desværre at det imidlertid skal være tvivlsomt hvorvidt han i pekuniær henseende vil kunne slippe helskindet fra «Folkebladet», der skal have pådraget sig en ikke ubetydelig gæld; dog, hvorledes det end går hermed, så er det alligevel bedre, end om han fortsatte denne for ham og andre fordærvelige trafik.Jeg har i den senere tid været indviklet i en tysk polemik. Tidsskriftet «Im neuen Reich» der udkommer i Leipzig under redaktion af Alfred Dowe og Gustav Freitag, har anfaldt mig for nogle i mine digte forekommende ytringer om Tyskerne. Krigen er derfra gåt over i «Constitutionelle Zeitung» og nogle andre mindre betydende blade. Jeg har naturligvis måttet tage til genmæle og har værget mig så vidt at jeg håber min stilling her bliver holdbar i nogen tid idetmindste.Tør jeg bede Dem være af den godhed at sende mig 36 Thaler preussisk? Jeg frygter nemlig for at komme i forlegenhed inden den sædvanlige kvartalsforsendelse fra Kristiania kan indløbe. – Forhåbentlig har De i sin tid modtaget universitets-bibliothekets bøger? Jeg har været noget i uro derover, fordi vedkommende postembedsmand hersteds sagde mig at indpakningen ikke var rigtig forsvarlig. Skulde dette have foranlediget nogen skade på indbindingen eller andet, så ønsker jeg naturligvis at erstatte samme; at pakken er fremkommen ved jeg deraf at jeg her har fåt tilbagebetalt et fejlagtigt beregnet portobeløb, hvorpå man ved Kbhvns postkontor havde gjort opmærksom.
Fru C: Collett opholder sig her i denne tid. Hun tænker på at begive sig til Rom; jeg tvivler imidlertid på at hun kommer videre; thi hun er uden alt begreb om hvorledes man skal indrette sig på en rejse.Skulde De se G: Brandes, beder jeg Dem hilse ham fra mig; jeg tilskriver ham snart. –Og hermed vil jeg hjerteligst takke Dem for alt godt i det forløbne år; og modtag, De og Deres søn, vore bedste ønsker for det kommende! Jeg håber temmelig sikkert at vore fælles foretagender i dette sidstnævnte vil løbe af til gensidig tilfredshed.","['Dunkers', 'Bjørnson', 'Alfred Dowe', 'Gustav Freitag', 'C: Collett', 'G: Brandes']",da
BREV_B1871-1879ht_B18720112ChrTh,"Som dramatisk forfatter er det mig naturligvis af vigtighed under min fraværelse fra hjemmet at kunne, gennem pålidelige meddelelser, følge theatrets virksomhed og standpunkt betræffende dets præstationer, dets kunstneriske kræfter og andet lignende, om hvilket den offentlige bladkritik ikke altid kan være mig tilstrækkelig orienterende.
For et par år siden anmodede jeg derfor den daværende theaterbestyrelse om at der måtte holdes åben en friplads i parkettet til afbenyttelse for min svoger, bureauchef J. H. Thoresen, – en anmodning, på hvilken theatrets foresatte med beredvillighed indgik.
I disse dage har jeg af «Morgenbladet» erfaret at samtlige fribilletter fra nytår af er inddragne, for, som jeg må formode, kun delvis igen at fornyes.Jeg tillader mig i den anledning at forespørge, om 
min fribillet hører blandt de inddragne og ikke igen fornyede?Er dette tilfældet, vil jeg være theaterbestyrelsen taknemmelig for en meddelelse derom, da jeg i så fald må træffe andre foranstaltninger for at vedligeholde forbindelsen med vor scene under min fraværelse.",['J. H. Thoresen'],da
BREV_B1871-1879ht_B18720119FH,"Jeg takker Dem forbindtligst for de modtagne 75 Thaler og beder Dem gentagende om undskyldning fordi jeg har ulejliget Dem midt i den travleste tid.Det beror på en misforståelse når De tror at 
«Julian» er så vidt fremskredet at trykningen skulde kunne påbegyndes i næste måned. Første afdeling er færdig; jeg arbejder på anden afdeling; men tredje afdeling er slet ikke skreven endnu! Dog vil denne sidste gå forholdsvis hurtigt fra hånden og når jeg regner tiden rummeligt, håber jeg visst at alt vil kunne være i Deres hænder i løbet af Juni måned. De franske typer vil passe ypperligt til dette antike sujet ligesom, efter hvad jeg synes, til mine bøger overhovedet.En stor og glædelig overraskelse var det mig at erfare at 2det oplag af «Kongs-emnerne» allerede er udsolgt, og det vil være mig kært at se den nye udgave med de nysnævnte typer. Jeg skal med omhyggelighed gennemse mit exemplar af stykket, og skulde der, mod formodning, være noget at rette, så tillader jeg mig at tilskrive Dem derom. –
Professor Rovsings bog om retskrivningsspørgsmålet er særdeles godt skreven, men det vil være aldeles umuligt for ham eller for nogen anden at standse strømmen. Den nye retskrivnings indflydelse på det dansk-norske bogmarkeds udvikling i Sverig vil snart vise sig; næsten i hvert eneste brev, jeg modtager derfra, udtales under forskellige former den forsikkring at vore bøger i den nye dragt dersteds læses lige så let som svensk. Og hvad er så egentlig dette nye? Intet andet end en udrensning af de forvanskninger, som er kommet ind i tidernes løb, og en tilbagevenden til det oprindelige og sprogrigtige! – Når De forresten træffer Professor Rovsing, beder jeg Dem hilse ham og hans familje fra mig og takke for det behagelige samvær i Rom.
Fru Collett opholder sig fremdeles her og tilbringer tiden med at ærgre sig; hun agter sig til Italien, men når og om hun kommer afsted, ved jeg ikke. Hun er en meget begavet men højst ulykkelig natur. – Hvad Bjørnson angår, da frygter jeg for at han har noget nyt isinde. Af aviserne ser jeg nemlig at hans ven, Stjernström, tænker på at grundlægge et stort theater i Stockholm. Mon ikke Bjørnsons svenske rejse står i forbindelse hermed?Hjertelige hilsener til Dem og Deres søn fra","['Rovsings', 'Professor Rovsing', 'Collett', 'Bjørnson', 'Stjernström', 'Bjørnsons']",da
BREV_B1871-1879ht_B18720207FH,"Som svar på Deres venlige skrivelse af 4de dennes skynder jeg mig at meddele at jeg ingen rettelser finder at burde foretage i «Kongs-emnerne», hvorfor trykningen altså straks kan påbegyndes. Skulde muligens en eller anden trykfejl findes i 2det oplag, stoler jeg i så henseende på Deres omhyggelige og kyndige 
korrektør.Til de i Deres brev nævnte venner beder jeg Dem overbringe min varmeste genhilsen. Jeg lever temmelig ensomt her, og glæder mig altid ved at erfare at man har mig i venlig erindring hjemme. «Den skotske Kvinde» har jeg læst med stor interesse, mest for de fortrinlige skildringer af tid, sæder og skikke; der er i alt dette en sandhed og nøjagtighed, som vistnok hidindtil står uovertruffen. Karaktererne forekommer mig derimod mindre ejendommelige, skønt vistnok fuldkommen svarende til tid og omstændigheder. Jeg kan imidlertid ikke nægte at jeg for mit vedkommende foretrækker Evalds romaner af nutidslivet, især «Johannes Falk» og «Familien Norby.» –Tør jeg bede Dem vise mig den store tjeneste at lade købe for min regning og sende mig under korsbånd et exemplar af 

Bresemanns danske gramatik for tysktalende. Der er nemlig påkommet vor omgangskreds af damer et raseri efter at lære dansk, og et sådant hjælpemiddel savnes.Med de bedste hilsener til Dem og Deres søn tegner jeg migP. s. Skulde mod formodning min hukommelse slå mig fejl og den ovennævnte bog ikke existere ønskede jeg gerne en anden til øjemedet svarende.","['Evalds', 'Bresemanns', 'migP. s. Skulde']",da
